time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status
2025-10-08T17:13:03,run_20251008_171206,AMCR,AMCR,SHORT,3781.0,7.985,473,8.09,7.77,9ca0ec32-76b7-4f1d-bf15-95ab5b62a538,d2107303-57e7-4335-a6a1-f9eaf94bc16f,906c4e38-fb1e-4f6c-a60c-14e05dc67ac7,pending_new,held,held
2025-10-08T17:13:03,run_20251008_171206,GWW,GWW,LONG,3835.28,961.46,3,948.85,987.89,cd1e0582-b377-4ead-acf6-16893a4364b7,5b9a2a2f-e373-48f4-9a65-03ea36c83ceb,b9b31e3a-4702-417d-8896-3d8397f8d64c,pending_new,held,held
2025-10-08T17:13:03,run_20251008_171206,NVR,NVR,LONG,7840.11,7721.03,1,7601.78,7970.95,e4fc83e0-0371-4f1b-bd5b-6e484702b19f,322e2408-da37-430f-9f96-661d8cf3b85e,d4cfd7d7-5259-4df9-b360-bef4692b022f,pending_new,held,held
2025-10-08T17:13:04,run_20251008_171206,TDG,TDG,LONG,2568.76,1282.57,2,1263.33,1322.9,e84fbf2c-4120-4756-ad00-67f5523596b6,5b8dcce5-7624-471c-9f23-b87242c9f63b,ad002f81-3648-4a74-b4a7-dcbc2d63b82f,pending_new,held,held
2025-10-08T17:13:04,run_20251008_171206,AZO,AZO,LONG,4085.93,4040.85,1,3975.01,4178.83,fce03341-ebe8-4305-8053-636643a73407,e8bd905b-71ec-4ab2-8c6b-0f5f345c12df,1c2cff12-fe55-4e0e-9b37-6a619b849e27,pending_new,held,held
2025-10-08T17:13:05,run_20251008_171206,VTRS,VTRS,SHORT,2788.5,10.055,277,10.22,9.7,8f5e2a5d-436a-4361-8260-ef3c8dc339b4,7952dcc9-b30e-4f01-9545-29fd90e33c2f,be59b0ad-3a69-4046-a9fc-81d98150f5b2,pending_new,held,held
2025-10-08T17:13:05,run_20251008_171206,HPQ,HPQ,SHORT,2681.55,27.11,98,27.57,26.15,ceea9fa2-630c-4ea3-b56c-9878b119fe9e,7c0151b3-1261-4320-8fa6-6779d994eab7,fe920652-9928-4269-ad57-ca3699e0583b,pending_new,held,held
2025-10-08T17:13:05,run_20251008_171206,BKNG,BKNG,LONG,5242.0,5187.46,1,5087.75,5396.43,4dfd161d-b545-4b5d-9aaf-90ae306a4218,7b7b767c-6195-4c50-9d52-e4a615c912b9,b44f3ae6-6e28-4de0-a3c3-99b478e1db05,pending_new,held,held
2025-10-08T17:13:06,run_20251008_171206,F,F,SHORT,2431.68,11.815,205,12.05,11.32,99b2d0aa-0965-4939-9548-953ba2a5639b,d245d2db-ba3d-4390-93e7-31ab961479dc,11e3039d-0e02-4b4c-a143-2194b53a5cae,pending_new,held,held
2025-10-08T17:13:06,run_20251008_171206,FICO,FICO,LONG,1879.55,1704.33,1,1651.35,1815.37,81a1d6df-2a09-4afd-bb89-55222132f105,6c0cbbd1-b2fb-4a85-9a59-11a6edcafce8,4051b80f-c49e-4e09-9b07-669ca11df6e0,pending_new,held,held
2025-10-08T17:13:06,run_20251008_171206,WBD,WBD,SHORT,1599.6,18.72,85,19.28,17.55,d5c3889f-e74a-41a5-9404-ecc5c568e8db,246d1533-0f6c-421c-8bb3-85337a5153f6,744a5fc4-557c-4299-a1bd-794ea0416c12,pending_new,held,held
2025-10-08T17:13:07,run_20251008_171206,PSKY,PSKY,SHORT,1240.17,18.56,66,19.26,17.1,4de36805-4c61-4b3b-b17d-920f533adb53,fd7654ac-e94e-4c25-a5b7-8e744702a57d,db624eae-abb8-4377-8c72-7f9cc96d5d64,pending_new,held,held
