time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status
2025-10-07T14:48:36,run_20251007_133849,AMCR,AMCR,SHORT,4026.93,8.065,499,8.16,7.86,368a32fe-1538-4108-a9db-89fb601229f0,740ecb91-69fb-4ce9-9cc5-ae67e79d3140,78e488da-3243-439d-b2ed-612655500bde,pending_new,held,held
2025-10-07T14:48:37,run_20251007_133849,NVR,NVR,LONG,8068.75,7947.7,1,7832.94,8188.2,2811b682-98f8-4a90-8e26-1fd5aae77975,357384c4-5e1d-4661-a831-642295bd9dfb,caf51664-44dc-4fa0-af81-42b9f3c3010f,pending_new,held,held
2025-10-07T14:48:37,run_20251007_133849,TDG,TDG,LONG,2583.48,1303.07,1,1283.41,1344.27,21bfd245-b1b5-4101-86b8-43e310e854f9,5c7ecf0d-85b7-4ca7-953b-000df1c0bce3,561b0193-3489-4521-bb13-7ac8fb40fc3f,pending_new,held,held
2025-10-07T14:48:38,run_20251007_133849,F,F,SHORT,3136.9,12.06,260,12.26,11.64,225f067d-a6cd-4a29-94e2-2915a5254d78,c1b503f9-35be-4dfc-9245-6f614458a2f1,60e23505-78ca-40c2-9bf1-dd0d166e3c0d,pending_new,held,held
2025-10-07T14:48:38,run_20251007_133849,KHC,KHC,SHORT,3057.67,25.225,121,25.62,24.39,c094d12a-a13f-4b73-a078-3d71813849dd,f59771e9-572e-418e-ae6f-b5adbf5c0f72,3e0693c9-22d1-447f-9f6e-63493f073592,pending_new,held,held
2025-10-07T14:48:38,run_20251007_133849,VTRS,VTRS,SHORT,2866.79,10.19,281,10.36,9.84,b8d1a572-01fa-4f86-9f58-250d72e928f8,70d9f85c-7814-4b67-a8cc-bef1e92df1f8,924e17be-e02f-4213-9d40-427d28596a46,pending_new,held,held
2025-10-07T14:48:39,run_20251007_133849,KLAC,KLAC,LONG,1139.71,1137.2,1,1115.58,1182.52,277af8ce-4387-45e4-9604-7d400f7d5988,1a07b276-6401-4cd1-953a-460bd87529f2,8d68d7ba-9597-4c1c-b9f8-fcbc404720b3,pending_new,held,held
2025-10-07T14:48:39,run_20251007_133849,FICO,FICO,LONG,1850.18,1848.33,1,1794.3,1961.57,ae4a3020-51e4-4da9-ab76-0200874c6704,cbca525b-af97-415e-b713-ed0d2c28aa94,4b405d1e-8c77-4d56-aa50-b689b8ab837e,pending_new,held,held
2025-10-07T14:48:40,run_20251007_133849,WBD,WBD,SHORT,1659.96,18.97,87,19.54,17.78,68f2acfa-e1bb-42b0-92d2-2c3cbb787116,7c4310c4-965f-43d7-bf10-c31c756816c8,6de2c448-6f89-4555-b1e4-199ee7a75822,pending_new,held,held
2025-10-07T14:48:40,run_20251007_133849,PSKY,PSKY,SHORT,1339.1,18.87,70,19.57,17.41,6f98def5-dbbd-430c-a43b-2790f361dece,8479f90e-2cb2-49ec-ab51-ac9d55ff17fc,9791113a-fc36-4a52-8594-376043128c88,pending_new,held,held
