time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status
2025-10-08T17:24:08,run_20251008_171206,AMCR,AMCR,SHORT,3781.0,7.995,472,8.1,7.78,5693114b-2da4-405c-9dcd-32fc293ab701,8df4df52-61c9-4e1b-be46-7d51071b2ff2,81ca017a-6583-4e28-b6ac-c39377965238,pending_new,held,held
2025-10-08T17:24:09,run_20251008_171206,GWW,GWW,LONG,3835.28,961.46,3,948.85,987.89,93181ab4-17a7-469c-8bf8-81e467054f3d,7bea8ca5-027f-4c99-bcfa-49ac7d2f9530,7bf3e4fd-c7de-4d22-b342-26d67eff5898,pending_new,held,held
2025-10-08T17:24:09,run_20251008_171206,NVR,NVR,LONG,7840.11,7721.03,1,7601.78,7970.95,cb319e1b-1ac0-473f-beb7-1581b81d0f3b,4243c63c-265c-4274-86f5-44533059c87f,b26ea3ba-122c-4b0e-b554-d6f573e1dc2f,pending_new,held,held
2025-10-08T17:24:10,run_20251008_171206,TDG,TDG,LONG,2568.76,1282.57,2,1263.33,1322.9,b77e4820-37e9-4d36-b882-7ef105396d78,a67dd2f2-06e3-4030-a4a5-d82a131ed657,3f8ad527-5ac6-4957-a8e7-a10d25b6c416,pending_new,held,held
2025-10-08T17:24:10,run_20251008_171206,AZO,AZO,LONG,4085.93,4040.85,1,3975.01,4178.83,ec3cb545-fbc8-4233-a6af-af63288640de,be781a96-f476-4a46-a72a-68d6dda48cbb,17ac9ab9-4e26-4061-90b0-1e63466e406f,pending_new,held,held
2025-10-08T17:24:10,run_20251008_171206,VTRS,VTRS,SHORT,2788.5,10.08,276,10.25,9.73,5bded3ab-2a5d-466a-ae28-5174392ee0df,1376d79b-8e31-40a9-9e27-e82c45303f59,40b2a15a-5551-4fb9-b99a-1d63adfa9da5,pending_new,held,held
2025-10-08T17:24:11,run_20251008_171206,HPQ,HPQ,SHORT,2681.55,27.085,99,27.55,26.12,2e766269-29bb-4400-8c8d-38e5389f237e,97c3d34e-0c49-4ccc-9127-52616774dfd3,669627da-64cd-4a9f-959c-8137a9be2c3e,pending_new,held,held
2025-10-08T17:24:11,run_20251008_171206,BKNG,BKNG,LONG,5242.0,5187.46,1,5087.75,5396.43,d82f0ee4-d94d-4037-8d49-58f504976b04,911bc58a-480c-4c68-8871-52f51657a578,5ad24ef0-c2dc-4260-a793-d59ac2ac9007,pending_new,held,held
2025-10-08T17:24:11,run_20251008_171206,F,F,SHORT,2431.68,11.825,205,12.06,11.33,31437c56-82d8-436d-bfcc-7858d7878160,270e1a8f-267c-4392-83f6-e715faf5384e,e3d0c090-a76c-49e7-88d2-ed589b3ea0a5,pending_new,held,held
2025-10-08T17:24:12,run_20251008_171206,FICO,FICO,LONG,1879.55,1707.32,1,1654.34,1818.36,6445578a-ca76-4627-9672-f7c9042acca3,62b8de13-5fbc-4a16-a417-d90d58813f66,fe749757-576e-4de5-b114-53e328840fbb,pending_new,held,held
2025-10-08T17:24:12,run_20251008_171206,WBD,WBD,SHORT,1599.6,18.675,85,19.23,17.51,db1e9081-f9a1-478f-b842-37c730db56a2,e51f4600-eaf0-4d6b-8c56-9af173d920de,2c987a5a-0223-4862-8c5e-714343f9213a,pending_new,held,held
2025-10-08T17:24:13,run_20251008_171206,PSKY,PSKY,SHORT,1240.17,18.525,66,19.22,17.07,7604a04a-7f91-4775-8af9-ed707e07c597,1fa2b2c1-6705-4bed-9319-948c0130a149,17f2ad8a-ec84-4f6f-8ad6-679267cd0b04,pending_new,held,held
