time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status
2025-10-03T14:32:02,run_20251003_143051,LYV,LYV,LONG,1088.6,156.725,6,154.37,159.86,f0c67cd8-637f-4cc6-bf62-735febf1c7cb,a5268fb3-d3c8-4f88-bed4-c92f25c7f2ee,2ae6889d-124e-4a9c-afb5-e81ddc4dc978,pending_new,held,held
2025-10-03T14:32:02,run_20251003_143051,VLTO,VLTO,SHORT,1668.66,106.48,15,108.08,104.35,a956d4da-51d8-4178-b69c-722e8ded7f7c,efa7ced3-9a62-4ec1-9cff-e641a91c267b,b8ab6e94-2d9d-4053-8fb6-4251158cc1c9,pending_new,held,held
2025-10-03T14:32:02,run_20251003_143051,IVZ,IVZ,LONG,1230.22,23.62,52,23.27,24.09,10de9587-d92e-4176-a7f3-d374e16fa438,9e7227fb-05b2-47c7-94c9-cbc4be18b365,9073b5b8-3923-45e3-8ad7-13aab2f4c6b8,pending_new,held,held
2025-10-03T14:32:03,run_20251003_143051,ETR,ETR,LONG,1634.11,95.155,17,93.73,97.06,a96e9e8e-4776-4716-8112-924940cc91e3,126b10e9-913f-43a4-88e3-fc20df4b3ef9,cb24a3fb-7a1d-4558-8c40-12992c812230,pending_new,held,held
2025-10-03T14:32:03,run_20251003_143051,JNJ,JNJ,LONG,1928.96,187.405,10,184.59,191.15,f18ff6d8-3e3a-4675-ab82-b86a297d230f,b8dfbdfe-5cc8-400e-a871-133f05312ba4,9513423b-3997-4217-b235-a87eccac5eaf,pending_new,held,held
2025-10-03T14:32:04,run_20251003_143051,XEL,XEL,LONG,1467.51,79.755,18,78.56,81.35,72d47962-24ff-492e-bda0-99ae9341cba6,21d9d7ed-420a-4c2e-8887-c051741a07b0,43bd746f-e159-4f20-821c-a3854bff6414,pending_new,held,held
2025-10-03T14:32:04,run_20251003_143051,FDS,FDS,SHORT,761.35,281.9,2,286.13,276.26,ef8ebf5d-2be0-4ecc-b423-3e6a020645ae,daf16295-837e-47e5-84b7-4f86574d80b2,d6ccadd7-217d-4ca8-ae2b-5b81149829a9,pending_new,held,held
2025-10-03T14:32:05,run_20251003_143051,AEE,AEE,LONG,2096.56,102.82,20,101.28,104.88,1b853958-1187-477c-8275-bbd6e9bad810,42c4fcff-2113-4de1-adea-bf65014b83b7,591336ad-5e37-4f94-a1c7-bce239bd0ce3,pending_new,held,held
2025-10-03T14:32:05,run_20251003_143051,KVUE,KVUE,SHORT,613.19,15.73,38,15.97,15.42,499141c5-7dea-4750-9439-4a5abc43fa90,4e87f8f3-a9de-4037-b5d7-a2e2ce5ff8f4,d2b170e7-f1d5-4313-b636-fe962bad7411,pending_new,held,held
2025-10-03T14:32:05,run_20251003_143051,L,L,LONG,2086.99,101.69,20,100.16,103.72,bd7d279f-46bf-43a8-bde7-bce19cb62247,d9e45b64-007e-4cab-8f93-913f5d397e0d,b4ff0a90-7857-4a66-aae7-50df488ca747,pending_new,held,held
2025-10-03T14:32:06,run_20251003_143051,EBAY,EBAY,LONG,992.97,89.37,11,88.03,91.16,9d173d5a-2539-45c0-a6b4-664b14fa7000,5d91f3cb-208e-46d1-9f79-05129aa37c9e,92783913-575d-461a-9feb-d35b6e809a3c,pending_new,held,held
2025-10-03T14:32:06,run_20251003_143051,ODFL,ODFL,SHORT,872.46,140.62,6,142.73,137.81,9b2ac711-6788-419f-8fef-284e43bc765b,b5701bf2-67b0-48a4-9eb2-795e0a977886,34823e6b-9133-4fc5-9f73-92dc69716a08,pending_new,held,held
2025-10-03T14:32:07,run_20251003_143051,AJG,AJG,SHORT,1494.85,308.71,4,313.34,302.54,27f1924a-a512-4d4c-92e4-990751087268,c09a7d37-6887-4031-a843-532d40a51436,1c68a7e0-9056-4e8e-a862-05365a6dafba,pending_new,held,held
2025-10-03T14:32:07,run_20251003_143051,CAG,CAG,SHORT,1112.46,19.2,57,19.49,18.82,e117b6a7-700a-4e13-90e9-d12a45202496,118d3c80-ca2a-446f-bd11-436b95c9386e,793d95f2-f961-4239-bb1a-673c12323cd3,pending_new,held,held
