time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status,init_tp,init_sl
2025-10-09T14:32:01,run_20251009_142618,AMCR,AMCR,SHORT,4821.85,7.995,603,8.09,7.79,a53d8ded-53c7-4906-ad17-17a15f678aa2,d11b6f65-1b15-456c-84f1-36d1c3d898cd,61127746-e878-4f7b-b5be-3bed49e9b2e5,pending_new,held,held,7.79,8.09
2025-10-09T14:32:02,run_20251009_142618,TDG,TDG,LONG,2571.7,1284.88,2,1266.34,1323.74,15a84714-d6f0-47d5-8740-18cb71fba637,7b34d2c3-81e0-4fa1-84f4-b97cb502785e,1b3ac46a-d2e6-4232-8b2a-0fbd17df3065,pending_new,held,held,1323.74,1266.34
2025-10-09T14:32:02,run_20251009_142618,GS,GS,LONG,3882.55,777.53,4,765.56,802.61,2234a8c9-a193-495a-9d9a-e2b9f342b51e,7b9eaa7d-a2b5-47a3-9a0f-40accee108f9,feb0cbef-ae86-44c6-b2c3-039051bb8271,pending_new,held,held,802.61,765.56
2025-10-09T14:32:02,run_20251009_142618,AZO,AZO,LONG,4027.76,4025.01,1,3960.37,4160.48,38f9040e-da3c-496f-95f6-fc65225ea8a1,629eb5bc-4c12-4d4e-bc9a-95785a32544d,4091190c-dc00-48d8-bb4d-166723c7a75a,pending_new,held,held,4160.48,3960.37
2025-10-09T14:32:03,run_20251009_142618,VTRS,VTRS,SHORT,3409.74,10.13,336,10.3,9.78,57003287-9663-4ccb-acfd-5e7d2c2ff9f4,bcb0afca-2e0b-4409-8904-9fe9ff93fb6f,26901cb3-a6e9-4dbc-aff3-0b11250824ca,pending_new,held,held,9.78,10.3
2025-10-09T14:32:03,run_20251009_142618,F,F,SHORT,2970.22,11.73,253,11.96,11.24,7ad64ba9-544d-4f7b-a85b-5ff732fe422f,7d293d9a-1dab-470c-80c6-71d32dab0680,af6f0f53-3c96-4e85-b1d8-35f8bc3671e8,pending_new,held,held,11.24,11.96
2025-10-09T14:32:04,run_20251009_142618,WBD,WBD,SHORT,1699.55,17.37,97,17.98,16.1,bb792ab5-557c-49c0-95a5-b4bddbe6560b,b816f0a3-f7f3-4ca8-bac4-fad758202ec2,f6c04666-a421-4c20-8143-5631e2d44584,pending_new,held,held,16.1,17.98
2025-10-09T14:32:04,run_20251009_142618,FICO,FICO,LONG,1695.01,1693.395,1,1634.65,1816.5,348126b9-180f-4d03-acce-cef0b01a4119,178e94e5-f60c-4025-a82c-49156408515d,ac29e317-668f-4ee5-b929-ef5bdb315662,pending_new,held,held,1816.5,1634.65
2025-10-09T14:32:05,run_20251009_142618,PSKY,PSKY,SHORT,1572.5,18.44,85,19.12,17.01,9cdbf323-acf6-4b51-a3ef-dd3f60efa34a,c69233e9-5e02-4806-ac3d-0e2aee9e3884,ed52add4-d4d9-4cce-8d7a-270e57784a5f,pending_new,held,held,17.01,19.12
