time,run_dir,ticker_file,symbol,action,dollars,est_price,qty,sl_price,tp_price,parent_order_id,tp_order_id,sl_order_id,parent_status,tp_status,sl_status
2025-10-08T14:32:01,run_20251008_141814,AMCR,AMCR,SHORT,3781.0,8.015,471,8.12,7.8,377a80f4-f4b4-4c71-990c-9f2bbaf5bf22,c126420b-7b8f-490c-8ec2-95a03c5b06cf,4da5466b-8441-471d-ac03-91775edcd969,pending_new,held,held
2025-10-08T14:32:01,run_20251008_141814,GWW,GWW,LONG,3835.28,959.36,3,946.75,985.79,2cfe9896-28f3-4472-98db-e84952d294ce,f0cf8cf1-d679-47b6-b964-381debd5e287,68329053-0e18-4445-85e8-3ce2d66c407f,pending_new,held,held
2025-10-08T14:32:02,run_20251008_141814,TDG,TDG,LONG,2568.76,1285.45,1,1266.21,1325.78,f697c491-0e2c-429e-9a59-9fb06eedbf15,51f677dc-bc8a-41e0-beac-31f20ae0050d,f137a97e-b378-45cf-98d7-58e8ec4e6584,pending_new,held,held
2025-10-08T14:32:02,run_20251008_141814,AZO,AZO,LONG,4085.93,4080.96,1,4015.12,4218.94,61b17ce8-a2e9-4ef2-8fba-ae2c1871b9a2,39282ad3-c832-4323-97cd-8a8b4c103d81,83fe252e-c441-4b8b-a1e5-0a0ad3becfe5,pending_new,held,held
2025-10-08T14:32:03,run_20251008_141814,VTRS,VTRS,SHORT,2788.5,10.08,276,10.25,9.73,cf38c97d-92a5-4e7c-81af-915c4370df7f,dae31f73-58fe-4560-9cc4-e1d31f6efac6,cb8e3cf9-fac0-462e-97ba-219549db1386,pending_new,held,held
2025-10-08T14:32:03,run_20251008_141814,HPQ,HPQ,SHORT,2681.55,26.57,100,27.03,25.61,a326ebaf-d279-4209-83bc-c34c64f9544a,1d1b049f-9600-48c2-8e0f-d84e40b75636,86bfaec0-03dc-47d2-a33d-59a1291af3ae,pending_new,held,held
2025-10-08T14:32:03,run_20251008_141814,BKNG,BKNG,LONG,5242.0,5210.12,1,5110.41,5419.09,650286c6-2d65-4246-8776-bcef8ecdacff,5ac8f033-dda0-44d8-96a6-0e8536cdca81,7b3d3097-0431-44eb-8ef7-da8da41aa569,pending_new,held,held
2025-10-08T14:32:04,run_20251008_141814,F,F,SHORT,2431.68,12.01,202,12.24,11.52,cd85509d-cc06-4d37-ad81-bc33a515d8e4,c86834dd-21d8-4d2f-9b09-38a6def5b2f5,b99fc1ac-6348-495d-928f-27b7860d9526,pending_new,held,held
2025-10-08T14:32:04,run_20251008_141814,FICO,FICO,LONG,1879.55,1822.14,1,1769.16,1933.18,292fb57c-03f4-4ee6-9fec-58f353e0c5f5,4173c61e-d114-4fd2-bcee-546452004c91,d1e14b0e-b90d-4736-9b30-0372d0392a90,pending_new,held,held
2025-10-08T14:32:05,run_20251008_141814,WBD,WBD,SHORT,1599.6,18.605,85,19.16,17.44,faf456c1-e8df-45e7-a9a9-a0c83763fc28,464629df-1ab3-4fdd-868a-b01ed5171231,80f5f758-7a18-4bad-96ec-bcfe3a977f13,pending_new,held,held
2025-10-08T14:32:05,run_20251008_141814,PSKY,PSKY,SHORT,1240.17,18.57,66,19.27,17.11,b1da4c87-a855-426b-90ab-eb29ec5698ab,d1f9e22f-7e5d-43fd-9845-70a1e72c98a0,f4da5811-ae39-4e79-a395-6f31b033e9b9,pending_new,held,held
